Date,AAPL,BRK-B,GLD,GOOGL,JPM,MSFT,SPY,TLT
2019-01-02,37.50373840332031,202.8000030517578,121.33000183105469,52.301727294921875,80.83651733398438,94.39714813232422,224.38253784179688,99.44600677490234
2019-01-03,33.768089294433594,191.66000366210938,122.43000030517578,50.85319519042969,79.68769073486328,90.92445373535156,219.02818298339844,100.57765197753906
2019-01-04,35.20962142944336,195.1999969482422,121.44000244140625,53.461639404296875,82.62541198730469,95.1532974243164,226.36459350585938,99.41340637207031
2019-01-07,35.13125228881836,196.91000366210938,121.86000061035156,53.35502624511719,82.68284606933594,95.27464294433594,228.1494140625,99.12035369873047
2019-01-08,35.80095291137695,196.30999755859375,121.52999877929688,53.82365036010742,82.52690887451172,95.96546173095703,230.2930145263672,98.85983276367188
2019-01-09,36.4089241027832,196.3699951171875,122.30999755859375,53.63916778564453,82.3874282836914,97.33772277832031,231.36923217773438,98.70513153076172
2019-01-10,36.52527618408203,196.5800018310547,121.58999633789062,53.499324798583984,82.37924194335938,96.7122802734375,232.18540954589844,98.07012939453125
2019-01-11,36.16667556762695,196.2899932861328,121.80000305175781,52.7872200012207,81.98533630371094,95.96546173095703,232.2751007080078,98.45277404785156
2019-01-14,35.622840881347656,195.77999877929688,122.08999633789062,52.14452362060547,82.83055114746094,95.26530456542969,230.85806274414062,98.0864028930664
2019-01-15,36.351924896240234,196.94000244140625,121.87999725341797,53.88018035888672,83.4377670288086,98.02852630615234,233.50387573242188,97.72819519042969
2019-01-16,36.796024322509766,198.41000366210938,122.2699966430664,54.028953552246094,84.11067962646484,98.37391662597656,234.0688934326172,97.82588958740234
2019-01-17,37.01451110839844,198.77999877929688,122.11000061035156,54.50551986694336,84.455322265625,99.06474304199219,235.84471130371094,97.85030364990234
2019-01-18,37.242488861083984,204.47999572753906,121.0199966430664,54.91115951538086,85.82572174072266,100.54902648925781,238.98382568359375,97.33741760253906
2019-01-22,36.40652847290039,200.72000122070312,121.44999694824219,53.48940658569336,84.47171783447266,98.65399169921875,235.75498962402344,97.9968490600586
2019-01-23,36.55378341674805,201.14999389648438,121.27999877929688,53.776039123535156,84.25838470458984,99.61549377441406,236.2483367919922,97.95614624023438
2019-01-24,36.2640495300293,201.02000427246094,121.08999633789062,53.755706787109375,84.30762481689453,99.13941192626953,236.37387084960938,98.59933471679688
2019-01-25,37.465728759765625,202.75,122.86000061035156,54.62403106689453,84.84101867675781,100.04491424560547,238.3739471435547,98.12712860107422
2019-01-28,37.118995666503906,200.9499969482422,123.29000091552734,53.5504035949707,85.24308776855469,98.09386444091797,236.56222534179688,98.02942657470703
2019-01-29,36.734275817871094,202.0500030517578,123.9800033569336,53.064422607421875,85.4810562133789,96.09613800048828,236.2483367919922,98.52604675292969
2019-01-30,39.24449920654297,205.9600067138672,124.69000244140625,54.44947814941406,85.677978515625,99.30741882324219,239.98834228515625,98.45277404785156
2019-01-31,39.52710723876953,205.5399932861328,124.75,55.833045959472656,84.93126678466797,97.48712158203125,242.0960235595703,99.2994613647461
2019-02-01,39.54610061645508,209.19000244140625,124.5,55.47251510620117,85.24308776855469,95.94679260253906,242.21258544921875,98.6997299194336
2019-02-04,40.669403076171875,208.52000427246094,123.95999908447266,56.603172302246094,85.54670715332031,98.7099838256836,243.9167022705078,98.25909423828125
2019-02-05,41.36524200439453,207.82000732421875,124.27999877929688,57.121395111083984,85.16922760009766,100.09161376953125,244.93919372558594,98.70789337158203
2019-02-06,41.379493713378906,206.00999450683594,123.44000244140625,55.68427276611328,85.12821197509766,98.98070526123047,244.6162567138672,98.75684356689453
2019-02-07,40.59579086303711,201.72999572753906,123.73999786376953,54.84223175048828,84.01219177246094,98.271240234375,242.2843780517578,99.40962219238281
2019-02-08,40.64348602294922,200.9199981689453,124.20999908447266,54.66717529296875,83.17520904541016,98.64463806152344,242.58030700683594,99.83395385742188
2019-02-11,40.40974807739258,203.0500030517578,123.5999984741211,54.65428161621094,82.78130340576172,98.25257110595703,242.7147674560547,99.44229125976562
2019-02-12,40.757965087890625,206.14999389648438,123.86000061035156,55.91685104370117,84.19271850585938,99.78353881835938,245.83602905273438,99.18931579589844
2019-02-13,40.58863067626953,205.8000030517578,123.37000274658203,55.96891784667969,84.59481811523438,99.70886993408203,246.63427734375,98.81395721435547
2019-02-14,40.736507415771484,202.77999877929688,124.05999755859375,55.99717712402344,84.04502868652344,99.79286193847656,246.08717346191406,99.37701416015625
2019-02-15,40.6458625793457,205.2899932861328,124.80000305175781,55.52260971069336,86.61347198486328,101.02508544921875,248.7688446044922,99.53199005126953
2019-02-19,40.767513275146484,205.69000244140625,126.69999694824219,55.86378860473633,86.30986022949219,100.97843170166016,249.19931030273438,99.78499603271484
